,Income,Location,Age,Sex,Year,count,percentage,cumulative_percent
0,$100-<125k,Canada,All age groups,Males,2016,504535.0,0.03844105478898887,0.03844105478898887
1,$125-<150k,Canada,All age groups,Males,2016,504535.0,0.03844105478898887,0.07688210957797774
2,$150-<175k,Canada,All age groups,Males,2016,142410.0,0.010850368383759114,0.08773247796173686
3,$175-<200k,Canada,All age groups,Males,2016,142410.0,0.010850368383759114,0.09858284634549597
4,$200-225k,Canada,All age groups,Males,2016,57120.0,0.004352033158347873,0.10293487950384383
5,$25-<50k,Canada,All age groups,Males,2016,3584680.0,0.27312055710900657,0.3760554366128504
6,$50-<75k,Canada,All age groups,Males,2016,2414020.0,0.18392673467988327,0.5599821712927336
7,$75-<100k,Canada,All age groups,Males,2016,1356340.0,0.10334097783602161,0.6633231491287552
8,0-<25k,Canada,All age groups,Males,2016,4194130.0,0.3195551966110218,0.982878345739777
9,225-250k,Canada,All age groups,Males,2016,57120.0,0.004352033158347873,0.9872303788981248
10,>250k,Canada,All age groups,Males,2016,167600.0,0.012769621101875062,0.9999999999999999
11,$100-<125k,Canada,0 to 24 years,Males,2016,3445.0,0.002262280010506961,0.002262280010506961
12,$125-<150k,Canada,0 to 24 years,Males,2016,3445.0,0.002262280010506961,0.004524560021013922
13,$150-<175k,Canada,0 to 24 years,Males,2016,545.0,0.00035789335434725507,0.004882453375361177
14,$175-<200k,Canada,0 to 24 years,Males,2016,545.0,0.00035789335434725507,0.0052403467297084325
15,$200-225k,Canada,0 to 24 years,Males,2016,125.0,8.208563173102181e-05,0.005322432361439454
16,$25-<50k,Canada,0 to 24 years,Males,2016,312620.0,0.20529288153401629,0.21061531389545574
17,$50-<75k,Canada,0 to 24 years,Males,2016,73680.0,0.04838455476753349,0.25899986866298924
18,$75-<100k,Canada,0 to 24 years,Males,2016,17920.0,0.011767796164959286,0.2707676648279485
19,0-<25k,Canada,0 to 24 years,Males,2016,1110170.0,0.7290320462306278,0.9997997110585763
20,225-250k,Canada,0 to 24 years,Males,2016,125.0,8.208563173102181e-05,0.9998817966903074
21,>250k,Canada,0 to 24 years,Males,2016,180.0,0.00011820330969267139,1.0
22,$100-<125k,Canada,25 to 34 years,Males,2016,66445.0,0.030066427142818358,0.030066427142818358
23,$125-<150k,Canada,25 to 34 years,Males,2016,66445.0,0.030066427142818358,0.060132854285636715
24,$150-<175k,Canada,25 to 34 years,Males,2016,12975.0,0.005871200123080265,0.06600405440871698
25,$175-<200k,Canada,25 to 34 years,Males,2016,12975.0,0.005871200123080265,0.07187525453179724
26,$200-225k,Canada,25 to 34 years,Males,2016,3795.0,0.0017172411920685629,0.07359249572386581
27,$25-<50k,Canada,25 to 34 years,Males,2016,689670.0,0.3120763459641438,0.38566884168800963
28,$50-<75k,Canada,25 to 34 years,Males,2016,482250.0,0.21821859416997746,0.6038874358579871
29,$75-<100k,Canada,25 to 34 years,Males,2016,236390.0,0.1069667049784157,0.7108541408364029
30,0-<25k,Canada,25 to 34 years,Males,2016,629190.0,0.2847090871245373,0.9955632279609401
31,225-250k,Canada,25 to 34 years,Males,2016,3795.0,0.0017172411920685629,0.9972804691530086
32,>250k,Canada,25 to 34 years,Males,2016,6010.0,0.002719530846991321,0.9999999999999999
33,$100-<125k,Canada,35 to 44 years,Males,2016,130885.0,0.06084759394336667,0.06084759394336667
34,$125-<150k,Canada,35 to 44 years,Males,2016,130885.0,0.06084759394336667,0.12169518788673334
35,$150-<175k,Canada,35 to 44 years,Males,2016,33870.0,0.015745944965900056,0.1374411328526334
36,$175-<200k,Canada,35 to 44 years,Males,2016,33870.0,0.015745944965900056,0.15318707781853347
37,$200-225k,Canada,35 to 44 years,Males,2016,12775.0,0.005939015262455661,0.15912609308098913
38,$25-<50k,Canada,35 to 44 years,Males,2016,518640.0,0.24111239731663436,0.4002384903976235
39,$50-<75k,Canada,35 to 44 years,Males,2016,475250.0,0.22094066563460296,0.6211791560322264
40,$75-<100k,Canada,35 to 44 years,Males,2016,337220.0,0.15677140718632468,0.777950563218551
41,0-<25k,Canada,35 to 44 years,Males,2016,434140.0,0.2018288912753425,0.9797794544938936
42,225-250k,Canada,35 to 44 years,Males,2016,12775.0,0.005939015262455661,0.9857184697563492
43,>250k,Canada,35 to 44 years,Males,2016,30720.0,0.014281530243650717,1.0
44,$100-<125k,Canada,45 to 54 years,Males,2016,146300.0,0.06378702197883648,0.06378702197883648
45,$125-<150k,Canada,45 to 54 years,Males,2016,146300.0,0.06378702197883648,0.12757404395767297
46,$150-<175k,Canada,45 to 54 years,Males,2016,43180.0,0.0188265455163784,0.14640058947405138
47,$175-<200k,Canada,45 to 54 years,Males,2016,43180.0,0.0188265455163784,0.1652271349904298
48,$200-225k,Canada,45 to 54 years,Males,2016,17935.0,0.0078196872125115,0.1730468222029413
49,$25-<50k,Canada,45 to 54 years,Males,2016,522410.0,0.2277715526450032,0.40081837484794447
50,$50-<75k,Canada,45 to 54 years,Males,2016,470050.0,0.20494251319994594,0.6057608880478904
51,$75-<100k,Canada,45 to 54 years,Males,2016,338800.0,0.1477173140562529,0.7534782021041433
52,0-<25k,Canada,45 to 54 years,Males,2016,492930.0,0.21491822791543314,0.9683964300195764
