,REF_DATE,GEO,Sex,Age group,Income source,Statistics,SCALAR_FACTOR,VALUE
4,1976,Canada,Both sexes,16 years and over,Total income,Median income (excluding zeros),units,31100.0
79,1976,Canada,Males,16 years and over,Total income,Median income (excluding zeros),units,47300.0
154,1976,Canada,Females,16 years and over,Total income,Median income (excluding zeros),units,17200.0
229,1976,Canada,Both sexes,16 to 24 years,Total income,Median income (excluding zeros),units,17100.0
304,1976,Canada,Males,16 to 24 years,Total income,Median income (excluding zeros),units,20600.0
379,1976,Canada,Females,16 to 24 years,Total income,Median income (excluding zeros),units,13200.0
454,1976,Canada,Both sexes,25 to 54 years,Total income,Median income (excluding zeros),units,46200.0
529,1976,Canada,Males,25 to 54 years,Total income,Median income (excluding zeros),units,61200.0
604,1976,Canada,Females,25 to 54 years,Total income,Median income (excluding zeros),units,25100.0
679,1976,Canada,Both sexes,25 to 34 years,Total income,Median income (excluding zeros),units,44400.0
754,1976,Canada,Males,25 to 34 years,Total income,Median income (excluding zeros),units,57700.0
829,1976,Canada,Females,25 to 34 years,Total income,Median income (excluding zeros),units,27000.0
904,1976,Canada,Both sexes,35 to 44 years,Total income,Median income (excluding zeros),units,50400.0
979,1976,Canada,Males,35 to 44 years,Total income,Median income (excluding zeros),units,67300.0
1054,1976,Canada,Females,35 to 44 years,Total income,Median income (excluding zeros),units,24200.0
1129,1976,Canada,Both sexes,45 to 54 years,Total income,Median income (excluding zeros),units,45700.0
1204,1976,Canada,Males,45 to 54 years,Total income,Median income (excluding zeros),units,61900.0
1279,1976,Canada,Females,45 to 54 years,Total income,Median income (excluding zeros),units,22400.0
1354,1976,Canada,Both sexes,55 to 64 years,Total income,Median income (excluding zeros),units,34700.0
1429,1976,Canada,Males,55 to 64 years,Total income,Median income (excluding zeros),units,49500.0
1504,1976,Canada,Females,55 to 64 years,Total income,Median income (excluding zeros),units,16200.0
1579,1976,Canada,Both sexes,65 years and over,Total income,Median income (excluding zeros),units,13800.0
1654,1976,Canada,Males,65 years and over,Total income,Median income (excluding zeros),units,18700.0
1729,1976,Canada,Females,65 years and over,Total income,Median income (excluding zeros),units,12100.0
1804,1976,Atlantic provinces,Both sexes,16 years and over,Total income,Median income (excluding zeros),units,25100.0
1879,1976,Atlantic provinces,Males,16 years and over,Total income,Median income (excluding zeros),units,36600.0
1954,1976,Atlantic provinces,Females,16 years and over,Total income,Median income (excluding zeros),units,12900.0
2029,1976,Atlantic provinces,Both sexes,16 to 24 years,Total income,Median income (excluding zeros),units,13700.0
2104,1976,Atlantic provinces,Males,16 to 24 years,Total income,Median income (excluding zeros),units,17800.0
2179,1976,Atlantic provinces,Females,16 to 24 years,Total income,Median income (excluding zeros),units,9700.0
2254,1976,Atlantic provinces,Both sexes,25 to 54 years,Total income,Median income (excluding zeros),units,37200.0
2329,1976,Atlantic provinces,Males,25 to 54 years,Total income,Median income (excluding zeros),units,49300.0
2404,1976,Atlantic provinces,Females,25 to 54 years,Total income,Median income (excluding zeros),units,21300.0
2479,1976,Atlantic provinces,Both sexes,25 to 34 years,Total income,Median income (excluding zeros),units,36500.0
2554,1976,Atlantic provinces,Males,25 to 34 years,Total income,Median income (excluding zeros),units,48200.0
2629,1976,Atlantic provinces,Females,25 to 34 years,Total income,Median income (excluding zeros),units,21700.0
2704,1976,Atlantic provinces,Both sexes,35 to 44 years,Total income,Median income (excluding zeros),units,39500.0
2779,1976,Atlantic provinces,Males,35 to 44 years,Total income,Median income (excluding zeros),units,56300.0
2854,1976,Atlantic provinces,Females,35 to 44 years,Total income,Median income (excluding zeros),units,19600.0
2929,1976,Atlantic provinces,Both sexes,45 to 54 years,Total income,Median income (excluding zeros),units,36800.0
3004,1976,Atlantic provinces,Males,45 to 54 years,Total income,Median income (excluding zeros),units,45700.0
3079,1976,Atlantic provinces,Females,45 to 54 years,Total income,Median income (excluding zeros),units,22600.0
3154,1976,Atlantic provinces,Both sexes,55 to 64 years,Total income,Median income (excluding zeros),units,26700.0
3229,1976,Atlantic provinces,Males,55 to 64 years,Total income,Median income (excluding zeros),units,38600.0
3304,1976,Atlantic provinces,Females,55 to 64 years,Total income,Median income (excluding zeros),units,10700.0
3379,1976,Atlantic provinces,Both sexes,65 years and over,Total income,Median income (excluding zeros),units,12500.0
3454,1976,Atlantic provinces,Males,65 years and over,Total income,Median income (excluding zeros),units,14300.0
3529,1976,Atlantic provinces,Females,65 years and over,Total income,Median income (excluding zeros),units,12000.0
3604,1976,Newfoundland and Labrador,Both sexes,16 years and over,Total income,Median income (excluding zeros),units,23900.0
3679,1976,Newfoundland and Labrador,Males,16 years and over,Total income,Median income (excluding zeros),units,31800.0
