,Age,Income,Location,Sex,Year,count,cumulative_percent,percentage
0,All age groups,$0-<25k,Canada,Males,2016.0,4194130.0,0.3195551966110218,0.3195551966110218
1,All age groups,$25-<50k,Canada,Males,2016.0,3584680.0,0.5926757537200283,0.27312055710900657
2,All age groups,$50-<75k,Canada,Males,2016.0,2414020.0,0.7766024883999116,0.18392673467988327
3,All age groups,$75-<100k,Canada,Males,2016.0,1356340.0,0.8799434662359332,0.10334097783602161
4,All age groups,$100-<125k,Canada,Males,2016.0,504535.0,0.9183845210249221,0.03844105478898887
5,All age groups,$125-<150k,Canada,Males,2016.0,504535.0,0.9568255758139109,0.03844105478898887
6,All age groups,$150-<175k,Canada,Males,2016.0,142410.0,0.96767594419767,0.010850368383759114
7,All age groups,$175-<200k,Canada,Males,2016.0,142410.0,0.9785263125814291,0.010850368383759114
8,All age groups,$200-225k,Canada,Males,2016.0,57120.0,0.982878345739777,0.004352033158347873
9,All age groups,225-250k,Canada,Males,2016.0,57120.0,0.9872303788981248,0.004352033158347873
10,All age groups,>250k,Canada,Males,2016.0,167600.0,0.9999999999999999,0.012769621101875062
11,0 to 24 years,$0-<25k,Canada,Males,2016.0,1110170.0,0.7290320462306278,0.7290320462306278
12,0 to 24 years,$25-<50k,Canada,Males,2016.0,312620.0,0.934324927764644,0.20529288153401629
13,0 to 24 years,$50-<75k,Canada,Males,2016.0,73680.0,0.9827094825321775,0.04838455476753349
14,0 to 24 years,$75-<100k,Canada,Males,2016.0,17920.0,0.9944772786971368,0.011767796164959286
15,0 to 24 years,$100-<125k,Canada,Males,2016.0,3445.0,0.9967395587076437,0.002262280010506961
16,0 to 24 years,$125-<150k,Canada,Males,2016.0,3445.0,0.9990018387181507,0.002262280010506961
17,0 to 24 years,$150-<175k,Canada,Males,2016.0,545.0,0.999359732072498,0.00035789335434725507
18,0 to 24 years,$175-<200k,Canada,Males,2016.0,545.0,0.9997176254268452,0.00035789335434725507
19,0 to 24 years,$200-225k,Canada,Males,2016.0,125.0,0.9997997110585762,8.208563173102181e-05
20,0 to 24 years,225-250k,Canada,Males,2016.0,125.0,0.9998817966903073,8.208563173102181e-05
21,0 to 24 years,>250k,Canada,Males,2016.0,180.0,1.0,0.00011820330969267139
22,25 to 34 years,$0-<25k,Canada,Males,2016.0,629190.0,0.2847090871245373,0.2847090871245373
23,25 to 34 years,$25-<50k,Canada,Males,2016.0,689670.0,0.596785433088681,0.3120763459641438
24,25 to 34 years,$50-<75k,Canada,Males,2016.0,482250.0,0.8150040272586585,0.21821859416997746
25,25 to 34 years,$75-<100k,Canada,Males,2016.0,236390.0,0.9219707322370743,0.1069667049784157
26,25 to 34 years,$100-<125k,Canada,Males,2016.0,66445.0,0.9520371593798926,0.030066427142818358
27,25 to 34 years,$125-<150k,Canada,Males,2016.0,66445.0,0.982103586522711,0.030066427142818358
28,25 to 34 years,$150-<175k,Canada,Males,2016.0,12975.0,0.9879747866457913,0.005871200123080265
29,25 to 34 years,$175-<200k,Canada,Males,2016.0,12975.0,0.9938459867688716,0.005871200123080265
30,25 to 34 years,$200-225k,Canada,Males,2016.0,3795.0,0.9955632279609401,0.0017172411920685629
31,25 to 34 years,225-250k,Canada,Males,2016.0,3795.0,0.9972804691530086,0.0017172411920685629
32,25 to 34 years,>250k,Canada,Males,2016.0,6010.0,0.9999999999999999,0.002719530846991321
33,35 to 44 years,$0-<25k,Canada,Males,2016.0,434140.0,0.2018288912753425,0.2018288912753425
34,35 to 44 years,$25-<50k,Canada,Males,2016.0,518640.0,0.4429412885919769,0.24111239731663436
35,35 to 44 years,$50-<75k,Canada,Males,2016.0,475250.0,0.6638819542265799,0.22094066563460296
36,35 to 44 years,$75-<100k,Canada,Males,2016.0,337220.0,0.8206533614129046,0.15677140718632468
37,35 to 44 years,$100-<125k,Canada,Males,2016.0,130885.0,0.8815009553562713,0.06084759394336667
38,35 to 44 years,$125-<150k,Canada,Males,2016.0,130885.0,0.942348549299638,0.06084759394336667
39,35 to 44 years,$150-<175k,Canada,Males,2016.0,33870.0,0.958094494265538,0.015745944965900056
40,35 to 44 years,$175-<200k,Canada,Males,2016.0,33870.0,0.9738404392314381,0.015745944965900056
41,35 to 44 years,$200-225k,Canada,Males,2016.0,12775.0,0.9797794544938938,0.005939015262455661
42,35 to 44 years,225-250k,Canada,Males,2016.0,12775.0,0.9857184697563495,0.005939015262455661
43,35 to 44 years,>250k,Canada,Males,2016.0,30720.0,1.0000000000000002,0.014281530243650717
44,45 to 54 years,$0-<25k,Canada,Males,2016.0,492930.0,0.21491822791543314,0.21491822791543314
45,45 to 54 years,$25-<50k,Canada,Males,2016.0,522410.0,0.44268978056043634,0.2277715526450032
46,45 to 54 years,$50-<75k,Canada,Males,2016.0,470050.0,0.6476322937603822,0.20494251319994594
47,45 to 54 years,$75-<100k,Canada,Males,2016.0,338800.0,0.7953496078166351,0.1477173140562529
48,45 to 54 years,$100-<125k,Canada,Males,2016.0,146300.0,0.8591366297954716,0.06378702197883648
49,45 to 54 years,$125-<150k,Canada,Males,2016.0,146300.0,0.922923651774308,0.06378702197883648
50,45 to 54 years,$150-<175k,Canada,Males,2016.0,43180.0,0.9417501972906864,0.0188265455163784
51,45 to 54 years,$175-<200k,Canada,Males,2016.0,43180.0,0.9605767428070648,0.0188265455163784
52,45 to 54 years,$200-225k,Canada,Males,2016.0,17935.0,0.9683964300195763,0.0078196872125115
53,45 to 54 years,225-250k,Canada,Males,2016.0,17935.0,0.9762161172320878,0.0078196872125115
54,45 to 54 years,>250k,Canada,Males,2016.0,54550.0,0.9999999999999998,0.023783882767912032
55,55 to 64 years,$0-<25k,Canada,Males,2016.0,588710.0,0.25896372282070795,0.25896372282070795
56,55 to 64 years,$25-<50k,Canada,Males,2016.0,590760.0,0.5188292064944378,0.25986548367372975
57,55 to 64 years,$50-<75k,Canada,Males,2016.0,462470.0,0.7222620561027217,0.2034328496082839
58,55 to 64 years,$75-<100k,Canada,Males,2016.0,264780.0,0.8387343676457004,0.1164723115429788
59,55 to 64 years,$100-<125k,Canada,Males,2016.0,108380.0,0.8864089243532616,0.047674556707561155
60,55 to 64 years,$125-<150k,Canada,Males,2016.0,108380.0,0.9340834810608227,0.047674556707561155
61,55 to 64 years,$150-<175k,Canada,Males,2016.0,35600.0,0.9497433280693961,0.015659847008573327
62,55 to 64 years,$175-<200k,Canada,Males,2016.0,35600.0,0.9654031750779695,0.015659847008573327
63,55 to 64 years,$200-225k,Canada,Males,2016.0,14965.0,0.9719860293050284,0.0065828542270589836
64,55 to 64 years,225-250k,Canada,Males,2016.0,14965.0,0.9785688835320874,0.0065828542270589836
65,55 to 64 years,>250k,Canada,Males,2016.0,48720.0,1.0,0.02143111646791271
66,65 years and over,$0-<25k,Canada,Males,2016.0,938980.0,0.3511229442603825,0.3511229442603825
67,65 years and over,$25-<50k,Canada,Males,2016.0,950580.0,0.7065836019474838,0.3554606576871013
68,65 years and over,$50-<75k,Canada,Males,2016.0,450320.0,0.8749766286992096,0.16839302675172574
69,65 years and over,$75-<100k,Canada,Males,2016.0,161220.0,0.9352633665143482,0.06028673781513862
70,65 years and over,$100-<125k,Canada,Males,2016.0,49080.0,0.9536163815991205,0.018353015084772384
71,65 years and over,$125-<150k,Canada,Males,2016.0,49080.0,0.9719693966838929,0.018353015084772384
72,65 years and over,$150-<175k,Canada,Males,2016.0,16250.0,0.9780459348894257,0.006076538205532828
73,65 years and over,$175-<200k,Canada,Males,2016.0,16250.0,0.9841224730949585,0.006076538205532828
74,65 years and over,$200-225k,Canada,Males,2016.0,7520.0,0.9869345080060727,0.002812034911114269
75,65 years and over,225-250k,Canada,Males,2016.0,7520.0,0.989746542917187,0.002812034911114269
76,65 years and over,>250k,Canada,Males,2016.0,27420.0,0.9999999999999999,0.010253457082812932
77,All age groups,$0-<25k,Canada,Females,2016.0,6112080.0,0.43765565142673013,0.43765565142673013
78,All age groups,$25-<50k,Canada,Females,2016.0,4232880.0,0.7407511367297984,0.3030954853030683
79,All age groups,$50-<75k,Canada,Females,2016.0,2016800.0,0.8851641545236475,0.14441301779384913
80,All age groups,$75-<100k,Canada,Females,2016.0,925300.0,0.9514202857040563,0.06625613118040886
81,All age groups,$100-<125k,Canada,Females,2016.0,238975.0,0.9685320969532061,0.01711181124914969
82,All age groups,$125-<150k,Canada,Females,2016.0,238975.0,0.9856439082023558,0.01711181124914969
83,All age groups,$150-<175k,Canada,Females,2016.0,54170.0,0.9895227524972253,0.0038788442948694997
84,All age groups,$175-<200k,Canada,Females,2016.0,54170.0,0.9934015967920948,0.0038788442948694997
85,All age groups,$200-225k,Canada,Females,2016.0,20235.0,0.9948505245068204,0.0014489277147255737
86,All age groups,225-250k,Canada,Females,2016.0,20235.0,0.996299452221546,0.0014489277147255737
87,All age groups,>250k,Canada,Females,2016.0,51680.0,1.0,0.0037005477784540475
88,0 to 24 years,$0-<25k,Canada,Females,2016.0,1227580.0,0.8107386982795628,0.8107386982795628
89,0 to 24 years,$25-<50k,Canada,Females,2016.0,244110.0,0.971957864148202,0.16121916586863916
90,0 to 24 years,$50-<75k,Canada,Females,2016.0,33360.0,0.9939900274081168,0.022032163259914805
91,0 to 24 years,$75-<100k,Canada,Females,2016.0,6280.0,0.9981375689330648,0.004147541524947991
92,0 to 24 years,$100-<125k,Canada,Females,2016.0,1110.0,0.9988706535019649,0.0007330845689000429
93,0 to 24 years,$125-<150k,Canada,Females,2016.0,1110.0,0.999603738070865,0.0007330845689000429
94,0 to 24 years,$150-<175k,Canada,Females,2016.0,210.0,0.9997424297460623,0.0001386916751973054
95,0 to 24 years,$175-<200k,Canada,Females,2016.0,210.0,0.9998811214212596,0.0001386916751973054
96,0 to 24 years,$200-225k,Canada,Females,2016.0,55.0,0.9999174454314304,3.6324010170722845e-05
97,0 to 24 years,225-250k,Canada,Females,2016.0,55.0,0.9999537694416011,3.6324010170722845e-05
98,0 to 24 years,>250k,Canada,Females,2016.0,70.0,1.0000000000000002,4.623055839910181e-05
99,25 to 34 years,$0-<25k,Canada,Females,2016.0,841920.0,0.3658581100459756,0.3658581100459756
100,25 to 34 years,$25-<50k,Canada,Females,2016.0,864300.0,0.7414414962498153,0.3755833862038397
101,25 to 34 years,$50-<75k,Canada,Females,2016.0,401870.0,0.91607495154744,0.17463345529762475
102,25 to 34 years,$75-<100k,Canada,Females,2016.0,135740.0,0.9750610545710535,0.05898610302361356
103,25 to 34 years,$100-<125k,Canada,Females,2016.0,22965.0,0.9850405437115963,0.009979489140542842
104,25 to 34 years,$125-<150k,Canada,Females,2016.0,22965.0,0.9950200328521391,0.009979489140542842
105,25 to 34 years,$150-<175k,Canada,Females,2016.0,3730.0,0.9966409122117832,0.0016208793596440149
106,25 to 34 years,$175-<200k,Canada,Females,2016.0,3730.0,0.9982617915714272,0.0016208793596440149
107,25 to 34 years,$200-225k,Canada,Females,2016.0,1090.0,0.9987354533682133,0.0004736617967860526
108,25 to 34 years,225-250k,Canada,Females,2016.0,1090.0,0.9992091151649994,0.0004736617967860526
109,25 to 34 years,>250k,Canada,Females,2016.0,1820.0,1.0,0.000790884835000565
110,35 to 44 years,$0-<25k,Canada,Females,2016.0,677400.0,0.2943195543930691,0.2943195543930691
111,35 to 44 years,$25-<50k,Canada,Females,2016.0,739550.0,0.6156422978997037,0.3213227435066346
112,35 to 44 years,$50-<75k,Canada,Females,2016.0,459940.0,0.8154789318641976,0.19983663396449394
113,35 to 44 years,$75-<100k,Canada,Females,2016.0,258310.0,0.9277105292885757,0.11223159742437804
114,35 to 44 years,$100-<125k,Canada,Females,2016.0,61940.0,0.9546224767333744,0.02691194744479879
115,35 to 44 years,$125-<150k,Canada,Females,2016.0,61940.0,0.9815344241781732,0.02691194744479879
116,35 to 44 years,$150-<175k,Canada,Females,2016.0,12270.0,0.9868655445389688,0.005331120360795628
117,35 to 44 years,$175-<200k,Canada,Females,2016.0,12270.0,0.9921966648997644,0.005331120360795628
118,35 to 44 years,$200-225k,Canada,Females,2016.0,4435.0,0.9941236020472892,0.0019269371475247438
119,35 to 44 years,225-250k,Canada,Females,2016.0,4435.0,0.996050539194814,0.0019269371475247438
120,35 to 44 years,>250k,Canada,Females,2016.0,9090.0,1.0,0.003949460805186003
121,45 to 54 years,$0-<25k,Canada,Females,2016.0,719420.0,0.3049022890345877,0.3049022890345877
122,45 to 54 years,$25-<50k,Canada,Females,2016.0,727360.0,0.6131696835359884,0.3082673945014007
123,45 to 54 years,$50-<75k,Canada,Females,2016.0,438000.0,0.7988014460629538,0.18563176252696534
124,45 to 54 years,$75-<100k,Canada,Females,2016.0,260920.0,0.9093837279774191,0.11058228191446529
125,45 to 54 years,$100-<125k,Canada,Females,2016.0,75010.0,0.9411742268521854,0.03179049887476637
126,45 to 54 years,$125-<150k,Canada,Females,2016.0,75010.0,0.9729647257269518,0.03179049887476637
127,45 to 54 years,$150-<175k,Canada,Females,2016.0,17245.0,0.9802734466054392,0.007308720878487483
128,45 to 54 years,$175-<200k,Canada,Females,2016.0,17245.0,0.9875821674839267,0.007308720878487483
129,45 to 54 years,$200-225k,Canada,Females,2016.0,6410.0,0.9902988332323236,0.002716665748396913
130,45 to 54 years,225-250k,Canada,Females,2016.0,6410.0,0.9930154989807205,0.002716665748396913
131,45 to 54 years,>250k,Canada,Females,2016.0,16480.0,0.9999999999999999,0.006984501019279427
132,55 to 64 years,$0-<25k,Canada,Females,2016.0,905040.0,0.3931486557516627,0.3931486557516627
133,55 to 64 years,$25-<50k,Canada,Females,2016.0,701110.0,0.6977102817947638,0.3045616260431011
134,55 to 64 years,$50-<75k,Canada,Females,2016.0,371870.0,0.8592503138534251,0.16154003205866127
135,55 to 64 years,$75-<100k,Canada,Females,2016.0,171190.0,0.9336151136171119,0.07436479976368683
136,55 to 64 years,$100-<125k,Canada,Females,2016.0,51965.0,0.9561886682623598,0.02257355464524789
137,55 to 64 years,$125-<150k,Canada,Females,2016.0,51965.0,0.9787622229076077,0.02257355464524789
138,55 to 64 years,$150-<175k,Canada,Females,2016.0,12995.0,0.9844072405659354,0.00564501765832765
139,55 to 64 years,$175-<200k,Canada,Females,2016.0,12995.0,0.9900522582242631,0.00564501765832765
140,55 to 64 years,$200-225k,Canada,Females,2016.0,4940.0,0.9921981902929156,0.00214593206865245
141,55 to 64 years,225-250k,Canada,Females,2016.0,4940.0,0.994344122361568,0.00214593206865245
142,55 to 64 years,>250k,Canada,Females,2016.0,13020.0,1.0000000000000002,0.005655877638432167
143,65 years and over,$0-<25k,Canada,Females,2016.0,1740710.0,0.5461890612203916,0.5461890612203916
144,65 years and over,$25-<50k,Canada,Females,2016.0,956460.0,0.8463010784402936,0.30011201721990205
145,65 years and over,$50-<75k,Canada,Females,2016.0,311760.0,0.9441231750135707,0.09782209657327715
146,65 years and over,$75-<100k,Canada,Females,2016.0,92850.0,0.9732570653998576,0.02913389038628683
147,65 years and over,$100-<125k,Canada,Females,2016.0,25990.0,0.9814120445182162,0.008154979118358587
148,65 years and over,$125-<150k,Canada,Females,2016.0,25990.0,0.9895670236365748,0.008154979118358587
149,65 years and over,$150-<175k,Canada,Females,2016.0,7710.0,0.9919862190579886,0.0024191954214138017
150,65 years and over,$175-<200k,Canada,Females,2016.0,7710.0,0.9944054144794023,0.0024191954214138017
151,65 years and over,$200-225k,Canada,Females,2016.0,3315.0,0.9954455743784927,0.00104015989909037
152,65 years and over,225-250k,Canada,Females,2016.0,3315.0,0.996485734277583,0.00104015989909037
